Account_Number;Account_Type;Account_Name;Account_Address;City;State_Code;FA_Code
9;Single;Rutherford Ford;5165 Padre Boulevard;Providence;HI;AU04
46;Trust;Martin Cleveland;6291 Carpinteria South;Nashville;MO;AU08
48;IRA;Gerald Nixon;3050 Via Real;Salem;OH;SE01
133;Single;Chester Harrison;407 East Main Street;Boston;VT;SE09
163;Single;George Garfield;4814 Fontaine Road;Cheyenne;MA;NY01
179;IRA;Martin Wilson;5292 Carpinteria Avenue;Columbia;UT;LA01
368;IRA;Theodore Harrison;4969 El Camino Real;Columbus;SD;VE08
453;Single;Gerald Kennedy;1386 Tully Road East;Annapolis;KY;SE01
534;Joint;James Truman;6603 East Main Street;Carson City;CA;NY03
598;Single;Calvin Cleveland;8232 W. Russell St.;Santa Fe;HI;SE03
631;401K;Bill Eisenhower;4193 East Main Street;Boise;KY;LA01
668;Single;Chester Wilson;4966 Via Real;Tallahassee;WI;SE01
705;Single;Zachary Kennedy;3317 Moreno Drive;Charleston;NM;DE01
750;Roth IRA;Bill Carter;6265 French Camp Turnpike Road;Frankfort;WI;LA01
834;Joint;Thomas Garfield;8461 Newbury Road;Dover;MN;CL05
874;Trust;Millard McKinley;8982 San Diego Freeway;Concord;RI;VE07
970;Trust;Rutherford Adams;4429 N Kentwood;Pierre;DE;MI01
988;Joint;Millard Johnson;1276 Newbury Road;Harrisburg;NV;CH02
1022;401K;Woodrow Van Buren;8450 East 1st Street;Carson City;CT;NO04
1123;Trust;Harry Eisenhower;2382 Tully Road East;Juneau;OH;SE03
1350;Joint;Calvin Reagan;9592 Bayshore Freeway;Olympia;RI;LA06
1418;Single;Martin Pierce;8879 Camelback Rd;Annapolis;IL;SE02
1549;Trust;Gerald Johnson;790 Erringer Road;Charleston;NJ;MI05
1664;Roth IRA;Woodrow Garfield;4284 Pacific Hwy S;Albany;IL;PO01
2253;IRA;Lyndon Eisenhower;3528 San Luis Obispo North;Boston;VT;CH09
2346;Roth IRA;Lyndon McKinley;8944 Cleveland Ave.;Juneau;OH;PX06
2513;Trust;Harry Taylor;9529 Newbury Road;Phoenix;AL;MN03
2514;IRA;Harry Clinton;7159 Erringer Road;Baton Rouge;OK;SL02
2575;Joint;Ulysses Jefferson;627 Lindbergh Blvd;Raleigh;AL;CL03
2673;Trust;William Polk;8580 N Harrison St;Bismarck;WI;AU03
2843;Joint;Benjamin Coolidge;5753 Greenwood Road;Trenton;ID;BO08
2880;401K;Ronald Harrison;3054 Westside Freeway;Denver;DE;BO01
3041;Single;Zachary Ford;3485 Woodson Rd.;Cheyenne;OH;PX06
3268;Single;Gerald Tyler;1419 Bowles Avenue;Topeka;SC;LA01
3284;IRA;Bill Ford;5946 Newbury Road;Austin;ME;DE09
3397;401K;Richard Clinton;797 Timberlane Drive;Salem;IL;NY01
3502;401K;Benjamin Johnson;9250 Lake Tahoe Blvd.;Concord;ID;CH01
3666;Joint;Woodrow Hayes;3883 San Diego Freeway;Indianapolis;OK;DE01
3669;Trust;Harry Johnson;5411 S Rustle St;Nashville;DE;NY01
3673;IRA;Warren Eisenhower;2619 Grandview Drive;Oklahoma City;NH;LA01
3829;Joint;Theodore Harrison;7249 East Calle Primera;Columbus;WV;DA01
3910;Roth IRA;Herbert Jackson;2990 Hutchinson Rd;Cheyenne;GA;MI04
3917;Single;Franklin Kennedy;3894 North Atherton Street;Columbus;OR;DT01
3978;Single;Harry Taylor;5233 Greenwood Road;Saint Paul;NM;CH03
4048;IRA;Thomas Grant;7981 San Diego Freeway;Harrisburg;OR;DA01
4064;Roth IRA;Theodore Madison;2204 Bowles Avenue;Richmond;AK;DA04
4225;Trust;Bill Quincy;7767 Padre Boulevard;Jackson;KS;SE04
4254;Trust;Grover Clinton;3828 East Main Street;Jefferson City;TN;IN04
4447;Roth IRA;John Pierce;1891 Padre Boulevard;Carson City;HI;SL09
4473;Joint;Bill Arthur;5538 Moreno Drive;Little Rock;FL;NV05
4528;Single;Harry Harrison;316 Santa Rosa South;Juneau;MO;NO01
4570;Joint;Chester Taylor;6131 Burnett Road;Charleston;AR;AU03
4590;IRA;Theodore Fillmore;6984 Jones Road;Montgomery;IN;OK08
4603;401K;Franklin Cleveland;3998 North Broadway Street;Tallahassee;AK;MD08
4608;Joint;Harry Adams;8630 North Preisker Lane;Springfield;SC;MI05
4662;401K;Dwight Adams;2704 Greenwood Road;Atlanta;MD;AU08
4685;Single;Andrew Kennedy;1665 Bailard Avenue;Boston;NM;MI03
4848;Roth IRA;Millard Harrison;1329 E Fowler Avenue;Columbia;CA;DT04
5123;IRA;Ronald Adams;5731 San Luis Obispo North;Little Rock;CO;BO09
5578;Trust;Grover Jackson;7276 Katella Avenue;Concord;MO;PO01
5992;IRA;Herbert McKinley;5497 Padre Boulevard;Carson City;KS;IN04
6037;IRA;Ulysses Eisenhower;8097 Moreno Drive;Lincoln;NJ;DA01
6053;Joint;William Roosevelt;8543 Jones Road;Annapolis;CT;MD01
6132;Joint;Lyndon Jackson;4806 Bayshore Freeway;Carson City;AZ;DT01
6247;Joint;Richard Jefferson;9062 South Roosevelt Drive;Hartford;CT;DT01
6347;401K;Benjamin Hayes;1940 North Ventu Park Road;Frankfort;MN;CL09
6530;Trust;William Polk;4758 Padre Boulevard;Des Moines;LA;DT01
